Cluster	R[arcmin]	ΔR[arcmin]	σ_R[mas/yr]	Δσ_R[mas/yr]	σ_T[mas/yr]	Δσ_T[mas/yr]
NGC6624	1.330518	0.309025	0.130022	0.017616	0.089292	0.015397
NGC6624	2.382813	0.506643	0.086233	0.017117	0.097830	0.017374
NGC6656	5.184184	0.667565	0.436799	0.016656	0.406824	0.015807
NGC6656	6.533077	0.345116	0.362084	0.014722	0.391759	0.015514
NGC6656	7.529978	0.310427	0.396463	0.016800	0.377179	0.016195
NGC6656	8.572142	0.273433	0.354568	0.015596	0.357549	0.015755
NGC6656	9.550225	0.308745	0.356502	0.015290	0.312038	0.014396
NGC6656	10.793131	0.374335	0.326374	0.015385	0.330647	0.015478
NGC6656	12.028432	0.393883	0.300026	0.013852	0.280221	0.013631
NGC6656	13.527425	0.459707	0.283678	0.014519	0.289440	0.015219
NGC6656	15.365468	0.648138	0.278586	0.013667	0.260908	0.013110
NGC6656	18.198910	0.950946	0.258275	0.013378	0.226738	0.012738
NGC6681	1.821125	0.354178	0.072905	0.013146	0.067887	0.012800
NGC6681	3.068793	0.781870	0.029937	0.014425	0.081823	0.014735
NGC6723	2.862201	0.523992	0.116643	0.008788	0.130387	0.010553
NGC6723	4.667294	1.188589	0.081338	0.011289	0.075655	0.012583
NGC6752	3.718991	0.571108	0.283281	0.005848	0.290710	0.005998
NGC6752	5.046642	0.336830	0.259015	0.005842	0.242223	0.005572
NGC6752	6.163817	0.323546	0.233214	0.005785	0.218520	0.005600
NGC6752	7.290679	0.351748	0.219951	0.005831	0.191031	0.005448
NGC6752	8.619329	0.405273	0.194699	0.005719	0.176979	0.005320
NGC6752	10.308028	0.570470	0.187187	0.005339	0.163250	0.005219
NGC6752	12.621356	0.888311	0.153939	0.004967	0.148219	0.004852
NGC6752	17.253521	2.806294	0.127127	0.004366	0.114357	0.004093
NGC6779	2.191306	0.427911	0.084890	0.006872	0.078130	0.006707
NGC6779	3.165846	0.321580	0.057281	0.010808	0.049392	0.010766
NGC6779	4.739639	1.021968	0.034624	0.014396	0.070668	0.015677
NGC6809	3.733374	0.706742	0.156541	0.005174	0.169242	0.005402
NGC6809	5.407412	0.441236	0.138433	0.007006	0.165941	0.007284
NGC6809	6.933986	0.538526	0.124241	0.007490	0.139960	0.007827
NGC6809	9.648673	1.680570	0.102107	0.006801	0.115722	0.006973
NGC6981	2.205005	1.017033	0.015466	0.009506	0.012762	0.008443
NGC7078	3.446826	0.635644	0.149558	0.006535	0.130637	0.006310
NGC7078	5.050193	0.461305	0.120553	0.009420	0.076370	0.008620
NGC7078	6.748453	0.589955	0.107617	0.009941	0.049980	0.011627
NGC7078	9.762376	1.753875	0.069920	0.008212	0.037297	0.009386
NGC7089	3.296226	0.592384	0.163002	0.009075	0.134219	0.008137
NGC7089	4.782625	0.470400	0.123503	0.015493	0.092911	0.011041
NGC7089	7.183464	1.921765	0.101091	0.013892	0.060130	0.013179
NGC7099	2.298094	0.438025	0.113954	0.008487	0.116101	0.009675
NGC7099	3.395666	0.307796	0.083673	0.015629	0.062144	0.017400
NGC7099	4.569430	0.417101	0.081089	0.012369	0.070644	0.011903
NGC7099	6.776688	1.605577	0.071669	0.014959	0.044560	0.015096
